tourney_name,surface,draw_size,tourney_level
OAHU,3,32.0,0
BOLZANO,0,32.0,0
KUALA LUMPUR-2,3,32.0,0
GENOVA,1,32.0,0
TAMPA,1,32.0,0
CHARLOTTE,1,32.0,0
DURBAN,3,32.0,0
SAN FRANCISCO,3,32.0,0
KUALA LUMPUR-1,3,32.0,0
BUZIOS,3,32.0,0
GUARUJA,3,32.0,0
TAIPEI,0,32.0,0
COLOGNE,1,32.0,0
BARCELONA OLYMPICS,1,64.0,0
BRUSSELS,0,32.0,0
MACEIO,1,32.0,0
WELLINGTON,3,32.0,0
BERLIN,0,32.0,0
BRASILIA,0,48.0,0
CHICAGO,0,32.0,0
